term_type,term_group,term,surprisal,surprisal_type,frequency
legal,乃|於是,乃,5.418395410582686,semantic,399
legal,乃|於是,乃,5.440237839821613,semantic,399
legal,乃|於是,乃,5.436331530736046,semantic,399
legal,乃|於是,乃,5.442711335917707,semantic,399
legal,乃|於是,乃,5.425261961441125,semantic,399
legal,乃|於是,乃,5.427004928908027,semantic,399
legal,乃|於是,乃,5.4464363116267425,semantic,399
legal,乃|於是,乃,5.410637194998028,semantic,399
legal,乃|於是,乃,5.438061161754138,semantic,399
legal,乃|於是,乃,5.438114277648755,semantic,399
legal,乃|於是,乃,5.432072456392046,semantic,399
legal,乃|於是,乃,5.420515023993833,semantic,399
legal,乃|於是,乃,5.420023143182617,semantic,399
legal,乃|於是,乃,5.430382887281854,semantic,399
legal,乃|於是,乃,5.423691681157709,semantic,399
legal,乃|於是,乃,5.428347220692267,semantic,399
legal,乃|於是,乃,5.423292158950143,semantic,399
legal,乃|於是,乃,5.426071312184741,semantic,399
legal,乃|於是,乃,5.407228244326721,semantic,399
legal,乃|於是,乃,5.449177351718312,semantic,399
legal,乃|於是,乃,5.43658444659522,semantic,399
legal,乃|於是,乃,5.43679842285766,semantic,399
legal,乃|於是,乃,5.4203846426961935,semantic,399
legal,乃|於是,乃,5.413339793689254,semantic,399
legal,乃|於是,乃,5.444346332681659,semantic,399
legal,乃|於是,乃,5.455119392598444,semantic,399
legal,乃|於是,乃,5.436961618999888,semantic,399
legal,乃|於是,乃,5.440129325247197,semantic,399
legal,乃|於是,乃,5.426516533510971,semantic,399
legal,乃|於是,乃,5.374577717308715,semantic,399
legal,乃|於是,乃,5.43063948259895,semantic,399
legal,乃|於是,乃,5.441661135094485,semantic,399
legal,乃|於是,乃,5.413839398499892,semantic,399
legal,乃|於是,乃,5.395932302828684,semantic,399
legal,乃|於是,乃,5.429826093004834,semantic,399
legal,乃|於是,乃,5.420331301727077,semantic,399
legal,乃|於是,乃,5.4292790007790925,semantic,399
legal,乃|於是,乃,5.449645284942804,semantic,399
legal,乃|於是,乃,5.440503453403824,semantic,399
legal,乃|於是,乃,5.432918719514333,semantic,399
legal,乃|於是,乃,5.443795181462774,semantic,399
legal,乃|於是,乃,5.397309115673856,semantic,399
legal,乃|於是,乃,5.436441893521963,semantic,399
legal,乃|於是,乃,5.436235955078638,semantic,399
legal,乃|於是,乃,5.426187743201407,semantic,399
legal,乃|於是,乃,5.449045336895725,semantic,399
legal,乃|於是,乃,5.413819560448726,semantic,399
legal,乃|於是,乃,5.445160841142523,semantic,399
legal,乃|於是,乃,5.441094825362496,semantic,399
legal,乃|於是,乃,5.451050049239936,semantic,399
legal,乃|於是,乃,5.385858774080782,semantic,399
legal,乃|於是,乃,5.447631829989863,semantic,399
legal,乃|於是,乃,5.380689683033756,semantic,399
legal,乃|於是,乃,5.43216424606402,semantic,399
legal,乃|於是,乃,5.435228414522161,semantic,399
legal,乃|於是,乃,5.440538335552143,semantic,399
legal,乃|於是,乃,5.444021313944442,semantic,399
legal,乃|於是,乃,5.447991213941741,semantic,399
legal,乃|於是,乃,5.421182439189991,semantic,399
legal,乃|於是,乃,5.427993389035422,semantic,399
legal,乃|於是,乃,5.404402645713219,semantic,399
legal,乃|於是,乃,5.405387191207792,semantic,399
legal,乃|於是,乃,5.4407631285834555,semantic,399
legal,乃|於是,乃,5.451459792870761,semantic,399
legal,乃|於是,乃,5.405986935284133,semantic,399
legal,乃|於是,乃,5.439498413855872,semantic,399
legal,乃|於是,乃,5.428446383546713,semantic,399
legal,乃|於是,乃,5.426310522658125,semantic,399
legal,乃|於是,乃,5.450084908014303,semantic,399
legal,乃|於是,乃,5.4362606714710475,semantic,399
legal,乃|於是,乃,5.423646472039254,semantic,399
legal,乃|於是,乃,5.448281267656144,semantic,399
legal,乃|於是,乃,5.434312333555847,semantic,399
legal,乃|於是,乃,5.421786626325783,semantic,399
legal,乃|於是,乃,5.437127776917601,semantic,399
legal,乃|於是,乃,5.433561223988596,semantic,399
legal,乃|於是,乃,5.430686975082288,semantic,399
legal,乃|於是,乃,5.425438841141855,semantic,399
legal,乃|於是,乃,5.438861596965735,semantic,399
legal,乃|於是,乃,5.4427621994318445,semantic,399
legal,乃|於是,乃,5.4411631307640205,semantic,399
legal,乃|於是,乃,5.439524615730721,semantic,399
legal,乃|於是,乃,5.4267397803567965,semantic,399
legal,乃|於是,乃,5.408423958466551,semantic,399
legal,乃|於是,乃,5.423184839413267,semantic,399
legal,乃|於是,乃,5.4099470348695515,semantic,399
legal,乃|於是,乃,5.260496284856222,semantic,399
legal,乃|於是,乃,5.4416343109408745,semantic,399
legal,乃|於是,乃,5.40901035169808,semantic,399
legal,乃|於是,乃,5.442312194908944,semantic,399
legal,乃|於是,乃,5.384066222902404,semantic,399
legal,乃|於是,乃,5.443941979619121,semantic,399
legal,乃|於是,乃,5.439355972500826,semantic,399
legal,乃|於是,乃,5.435710085799218,semantic,399
legal,乃|於是,乃,5.450798844128862,semantic,399
legal,乃|於是,乃,5.427790958659576,semantic,399
legal,乃|於是,乃,5.406310768395253,semantic,399
legal,乃|於是,乃,5.4143287416660835,semantic,399
legal,乃|於是,乃,5.4303821655872815,semantic,399
legal,乃|於是,乃,5.440467149221019,semantic,399
legal,乃|於是,乃,5.446349464703149,semantic,399
legal,乃|於是,乃,5.43791210903604,semantic,399
legal,乃|於是,乃,5.453318160253147,semantic,399
legal,乃|於是,乃,5.4446236632011615,semantic,399
legal,乃|於是,乃,5.447750906226111,semantic,399
legal,乃|於是,乃,5.434309369044643,semantic,399
legal,乃|於是,乃,5.436135053091774,semantic,399
legal,乃|於是,乃,5.454828243036664,semantic,399
legal,乃|於是,乃,5.428656545934824,semantic,399
legal,乃|於是,乃,5.428880987642626,semantic,399
legal,乃|於是,乃,5.407072137000221,semantic,399
legal,乃|於是,乃,5.451251843388785,semantic,399
legal,乃|於是,乃,5.439769317217692,semantic,399
legal,乃|於是,乃,5.425226820801604,semantic,399
legal,乃|於是,乃,5.439377615046289,semantic,399
legal,乃|於是,乃,5.440735972539311,semantic,399
legal,乃|於是,乃,5.447606193073082,semantic,399
legal,乃|於是,乃,5.42758290394114,semantic,399
legal,乃|於是,乃,5.400701726212844,semantic,399
legal,乃|於是,乃,5.434295727930104,semantic,399
legal,乃|於是,乃,5.447363215891448,semantic,399
legal,乃|於是,乃,5.431364341627765,semantic,399
legal,乃|於是,乃,5.442332944850671,semantic,399
legal,乃|於是,乃,5.44450444973552,semantic,399
legal,乃|於是,乃,5.415895653560475,semantic,399
legal,乃|於是,乃,5.451397226452678,semantic,399
legal,乃|於是,乃,5.4414846292026215,semantic,399
legal,乃|於是,乃,5.442159712439294,semantic,399
legal,乃|於是,乃,5.4299294480345655,semantic,399
legal,乃|於是,乃,5.440876584271139,semantic,399
legal,乃|於是,乃,5.415248732904274,semantic,399
legal,乃|於是,乃,5.4150903288033545,semantic,399
legal,乃|於是,乃,5.435945007247347,semantic,399
legal,乃|於是,乃,5.430959213390165,semantic,399
legal,乃|於是,乃,5.412926762799976,semantic,399
legal,乃|於是,乃,5.453602335384861,semantic,399
legal,乃|於是,乃,5.440958764954455,semantic,399
legal,乃|於是,乃,5.433388504106286,semantic,399
legal,乃|於是,乃,5.4506301651023055,semantic,399
legal,乃|於是,乃,5.428572711234146,semantic,399
legal,乃|於是,乃,5.420630647608496,semantic,399
legal,乃|於是,乃,5.437712075796023,semantic,399
legal,乃|於是,乃,5.400564937974786,semantic,399
legal,乃|於是,乃,5.416578353762275,semantic,399
legal,乃|於是,乃,5.378659356910323,semantic,399
legal,乃|於是,乃,5.422467373944053,semantic,399
legal,乃|於是,乃,5.438246678569626,semantic,399
legal,乃|於是,乃,5.444849140874279,semantic,399
legal,乃|於是,乃,5.433807657714208,semantic,399
legal,乃|於是,乃,5.421891875268855,semantic,399
legal,乃|於是,乃,5.437530289047876,semantic,399
legal,乃|於是,乃,5.444750871059606,semantic,399
legal,乃|於是,乃,5.4087762015595,semantic,399
legal,乃|於是,乃,5.429667526394245,semantic,399
legal,乃|於是,乃,5.450703406749018,semantic,399
legal,乃|於是,乃,5.383138076549721,semantic,399
