term_type,term_group,term,surprisal,surprisal_type,frequency
usual,febrile|feverish,feverish,3.805205554849559,semantic,8
usual,febrile|feverish,feverish,3.996569395682867,semantic,8
usual,febrile|feverish,feverish,4.024516944947564,semantic,8
usual,febrile|feverish,feverish,4.011449786287841,semantic,8
usual,febrile|feverish,feverish,3.819734861264626,semantic,8
usual,febrile|feverish,feverish,3.836004408130091,semantic,8
bio,carbohydrate|carb,carbohydrate,-0.1966218327453973,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0805161292058076,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0068945796486286,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0078484897148555,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0852593755491479,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2002148776581145,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1017723141752129,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.014912259792211,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0887653149207219,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2145386315821401,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1531659889824776,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.3239589989568429,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1235265931612459,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0932881360918803,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1473863881940275,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1091379770479301,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.199493717036749,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.312862708031801,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0419939202301649,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0161187778974945,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0015784416289046,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1288897859654031,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1067569558959112,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0348020570776586,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2673145221126352,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0541184299985269,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0045375486842865,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0463133803025668,semantic,828
bio,carbohydrate|carb,carbohydrate,0.4092320261318165,semantic,828
bio,carbohydrate|carb,carbohydrate,0.3150050007477012,semantic,828
bio,carbohydrate|carb,carbohydrate,0.2094246867033089,semantic,828
bio,carbohydrate|carb,carbohydrate,0.2380044106915325,semantic,828
bio,carbohydrate|carb,carbohydrate,0.2284749452242036,semantic,828
bio,carbohydrate|carb,carbohydrate,0.2609272186758279,semantic,828
bio,carbohydrate|carb,carbohydrate,0.3104203215370644,semantic,828
bio,carbohydrate|carb,carbohydrate,0.2779317095974586,semantic,828
bio,carbohydrate|carb,carbohydrate,0.2728717087961064,semantic,828
bio,carbohydrate|carb,carbohydrate,0.1884088536886108,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0754575591188018,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0278256004591213,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0584363782737614,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0528699704936506,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0113673370593743,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1625439921095915,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0492958077766033,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1874658607280275,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0327381538693654,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2349294702681261,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0932488677556976,semantic,828
bio,carbohydrate|carb,carbohydrate,0.4655747709826138,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.195912387082877,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0549613675297802,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2182831567670911,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1479240556000232,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1459703615394908,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.158424188521318,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1580446514644094,semantic,828
bio,carbohydrate|carb,carbohydrate,0.2030538533807783,semantic,828
bio,carbohydrate|carb,carbohydrate,0.1881063058656477,semantic,828
bio,carbohydrate|carb,carbohydrate,0.1881063058656477,semantic,828
bio,carbohydrate|carb,carbohydrate,0.5024942227630887,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1619034809167416,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0338714094869309,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2681605323722893,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2461220272658212,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0833936097484034,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2994946173113149,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2389466891114273,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2788870123486351,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0749400748685188,semantic,828
bio,carbohydrate|carb,carbohydrate,0.2073809679554352,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0931081892396981,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.116923381655778,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2104826079555574,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2305434656195638,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2405455697808803,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1872173949227866,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0787246282775446,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1005413333562607,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2620061540938164,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1410624614172381,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1314107120699744,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1442547337015711,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1368815211335648,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1959589560656897,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0018183425010718,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1189134993241923,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2110343754176603,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.238401186115463,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.230600669213097,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2185204102872797,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0068053005378915,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0530114175990018,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1736917704651994,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0537653330857574,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1045169484011204,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1898613087565033,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0611883677495948,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1191698355213425,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0256447206898759,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1920498170853551,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1836453217703495,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0044223582241367,semantic,828
bio,carbohydrate|carb,carbohydrate,0.3034305680549951,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1121526442195682,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0028408715890016,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1629371605556692,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2146610443101495,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.3352803276343933,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.3352803276343933,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2023450406734508,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0812911032481712,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1924366504012251,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1751901764866645,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2066451032575938,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1095329872982417,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1111594326645928,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2801148770308206,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1701371959002217,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1662761980642705,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2343979140168894,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2923499922292462,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2673937252958039,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.160156609591149,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1694371561469247,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.3165570052834526,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2645191267360534,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0686073062391379,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1584727818571628,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2415848437960233,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0575048609251721,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1973875749470572,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.178038362057087,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2532526372076932,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0030242881901065,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.23456109950512,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2082205631643233,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1706535465327674,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1441262062198872,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1944089187434351,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1833144426422727,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2361113599445958,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1713630922954743,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1372295291857208,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1738231405793057,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1293147487957197,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1553915548548217,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1093582420215124,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1403122295056156,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2650643298059702,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2652135453726916,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2870777015954239,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2375367005032467,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0093607666058454,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0343376405111934,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0579724625475078,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1148397456629986,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0671419552372647,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0105538273990382,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0371446912138991,semantic,828
bio,carbohydrate|carb,carbohydrate,0.1517043529880132,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0530732881129132,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0592271648288739,semantic,828
bio,carbohydrate|carb,carbohydrate,0.5792493739417475,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2005228220773697,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0474066505355297,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0291353776199351,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0507414239400691,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0708071895790951,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2007509837774648,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2455319016846269,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.5474044547493908,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2443917833802688,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2497296454103903,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2884727912790152,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2143362907453534,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2431934912040689,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0669285327383469,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1450489265885129,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0557485236174191,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1251832492859199,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1163151307739901,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1405476106315689,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.3181837322726164,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2431908959871276,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2115222249681309,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1663597987745179,semantic,828
bio,carbohydrate|carb,carbohydrate,0.0418802394731784,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2203476304857435,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1996186980604895,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2452277642530319,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1519545078473683,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0296311783634463,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0538687606577049,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.0268237958137543,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.1831633706867143,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.2476960386339688,semantic,828
bio,carbohydrate|carb,carbohydrate,-0.3534941956715554,semantic,828
